Vijay Chidambaram,University of Texas at Austin
Roberto Di Cosmo, INRIA / IRIF / Université Paris Cité
Juliana	Freire,NYU Tandon
Fraida	Fund,NYU Tandon
Todd Gamblin,Lawrence Livermore
Haryadi	Gunawi,University of Chicago
Paul Groth, University of Amsterdam
Daniel S. Katz,University of Illinois
Kate Keahey,Argonne National Laboratory / University of Chicago
Ignacio Laguna,Lawrence Livermore
Bertram Ludaescher,"University of Illinois, Urbana Champagne"
Reed Milewicz,Sandia National Laboratories 
Thomas Pasquier,University of British Columbia
Limor Peer,Yale
Solal Pirelli,EPFL 
Beth Plale,Indiana University
Line Pouchard,Brookhaven National Lab.
Birali Runesha,University of Chicago
Vicky Rampin,NYU
Mahadev Satyanarayanan, Carnegie Mellon University
Stefanie Scherzinger,University of Passau
Salvatore Signorello,University of Lisbon
Victoria Stodden, University of Southern California
Michela	Taufer,"University of Tennessee, Knoxville"
Divesh Tewari,Northeastern Univ.
Douglas	Thain,University of Notre Dame
Anjo Vahldiek-Oberwagner,Intel Labs
Alexios Voulimeneas,KU Leuven
Stefano Zacchiroli,Polytechnic Institute of Paris / Software Heritage 
Theo Zimmerman,Télécom Paris
